model,held_out,n_test,macro_f1,kappa
A gravity only      (logreg),25003,7238,0.7013292592818731,0.7834328287092758
A gravity only      (logreg),25004,7728,0.4402184448459115,0.541600830781019
A gravity only      (logreg),25005,6165,0.6518001808333223,0.8886771521965812
A gravity only      (logreg),25006,8007,0.49018812489217733,0.6065335678601085
A gravity only      (logreg),25007,9760,0.5922888888214933,0.795151121479147
A gravity only      (logreg),25008,9237,0.5871478499289572,0.7979071895316449
B + accel dispersion(logreg),25003,7238,0.7003202739114424,0.801646118880157
B + accel dispersion(logreg),25004,7728,0.4940297493019408,0.5055877807927462
B + accel dispersion(logreg),25005,6165,0.6247478798487066,0.8825866833829186
B + accel dispersion(logreg),25006,8007,0.545852098713903,0.5658219325797391
B + accel dispersion(logreg),25007,9760,0.6011024872204185,0.7987187565956944
B + accel dispersion(logreg),25008,9237,0.5567891399503644,0.8144574578222079
C + gyro            (logreg),25003,7238,0.7345026896231683,0.7995145939171096
C + gyro            (logreg),25004,7728,0.536918383886375,0.5640831800031014
C + gyro            (logreg),25005,6165,0.7273895690126976,0.8929583793980747
C + gyro            (logreg),25006,8007,0.5713799130263141,0.5365788220833801
C + gyro            (logreg),25007,9760,0.5646046627121933,0.8384448586994775
C + gyro            (logreg),25008,9237,0.6109771996275768,0.8257958881840279
A gravity only      (GBDT),25003,7238,0.6073699759959459,0.7921736191750053
A gravity only      (GBDT),25004,7728,0.4710941628018012,0.5857429830361334
A gravity only      (GBDT),25005,6165,0.6610193238411586,0.8840717306086046
A gravity only      (GBDT),25006,8007,0.6897275912373144,0.8211293364653752
A gravity only      (GBDT),25007,9760,0.6222830376884071,0.7953791951861213
A gravity only      (GBDT),25008,9237,0.6289042826253924,0.8083258988439661
C + gyro            (GBDT),25003,7238,0.7338917157149893,0.8049156593405878
C + gyro            (GBDT),25004,7728,0.5393059375168718,0.5684012270509746
C + gyro            (GBDT),25005,6165,0.7046507874180312,0.8876948380504662
C + gyro            (GBDT),25006,8007,0.7234934328547296,0.8381675332606132
C + gyro            (GBDT),25007,9760,0.7588672575169849,0.8848490005674648
C + gyro            (GBDT),25008,9237,0.6501996215646008,0.8306646392207739
