model,held_out,coded,predicted,n,row_pct
harnet10 (probe),25003,crawl,crawl,0,0.0
harnet10 (probe),25003,crawl,on back,0,0.0
harnet10 (probe),25003,crawl,on side,0,0.0
harnet10 (probe),25003,crawl,on stomach,0,0.0
harnet10 (probe),25003,crawl,recline back,0,0.0
harnet10 (probe),25003,crawl,sit,0,0.0
harnet10 (probe),25003,crawl,stand,0,0.0
harnet10 (probe),25003,on back,crawl,1,0.031908104658583285
harnet10 (probe),25003,on back,on back,2537,80.95086151882577
harnet10 (probe),25003,on back,on side,32,1.0210593490746651
harnet10 (probe),25003,on back,on stomach,24,0.7657945118059988
harnet10 (probe),25003,on back,recline back,265,8.45564773452457
harnet10 (probe),25003,on back,sit,142,4.530950861518826
harnet10 (probe),25003,on back,stand,133,4.243777919591577
harnet10 (probe),25003,on side,crawl,3,4.0
harnet10 (probe),25003,on side,on back,27,36.0
harnet10 (probe),25003,on side,on side,31,41.333333333333336
harnet10 (probe),25003,on side,on stomach,5,6.666666666666667
harnet10 (probe),25003,on side,recline back,5,6.666666666666667
harnet10 (probe),25003,on side,sit,3,4.0
harnet10 (probe),25003,on side,stand,1,1.3333333333333335
harnet10 (probe),25003,on stomach,crawl,0,0.0
harnet10 (probe),25003,on stomach,on back,16,1.0094637223974765
harnet10 (probe),25003,on stomach,on side,8,0.5047318611987383
harnet10 (probe),25003,on stomach,on stomach,1518,95.77287066246056
harnet10 (probe),25003,on stomach,recline back,25,1.5772870662460567
harnet10 (probe),25003,on stomach,sit,14,0.8832807570977917
harnet10 (probe),25003,on stomach,stand,4,0.2523659305993691
harnet10 (probe),25003,recline back,crawl,21,2.131979695431472
harnet10 (probe),25003,recline back,on back,76,7.715736040609138
harnet10 (probe),25003,recline back,on side,2,0.20304568527918782
harnet10 (probe),25003,recline back,on stomach,5,0.5076142131979695
harnet10 (probe),25003,recline back,recline back,598,60.71065989847716
harnet10 (probe),25003,recline back,sit,256,25.98984771573604
harnet10 (probe),25003,recline back,stand,27,2.7411167512690358
harnet10 (probe),25003,sit,crawl,11,1.484480431848853
harnet10 (probe),25003,sit,on back,7,0.9446693657219973
harnet10 (probe),25003,sit,on side,0,0.0
harnet10 (probe),25003,sit,on stomach,0,0.0
harnet10 (probe),25003,sit,recline back,311,41.97031039136302
harnet10 (probe),25003,sit,sit,365,49.257759784075574
harnet10 (probe),25003,sit,stand,47,6.342780026990553
harnet10 (probe),25003,stand,crawl,25,3.4818941504178276
harnet10 (probe),25003,stand,on back,25,3.4818941504178276
harnet10 (probe),25003,stand,on side,3,0.4178272980501393
harnet10 (probe),25003,stand,on stomach,0,0.0
harnet10 (probe),25003,stand,recline back,139,19.35933147632312
harnet10 (probe),25003,stand,sit,386,53.760445682451255
harnet10 (probe),25003,stand,stand,140,19.498607242339833
harnet10 (probe),25004,crawl,crawl,59,49.57983193277311
harnet10 (probe),25004,crawl,on back,17,14.285714285714285
harnet10 (probe),25004,crawl,on side,1,0.8403361344537815
harnet10 (probe),25004,crawl,on stomach,3,2.5210084033613445
harnet10 (probe),25004,crawl,recline back,11,9.243697478991598
harnet10 (probe),25004,crawl,sit,22,18.487394957983195
harnet10 (probe),25004,crawl,stand,6,5.042016806722689
harnet10 (probe),25004,on back,crawl,0,0.0
harnet10 (probe),25004,on back,on back,24,88.88888888888889
harnet10 (probe),25004,on back,on side,0,0.0
harnet10 (probe),25004,on back,on stomach,0,0.0
harnet10 (probe),25004,on back,recline back,0,0.0
harnet10 (probe),25004,on back,sit,2,7.4074074074074066
harnet10 (probe),25004,on back,stand,1,3.7037037037037033
harnet10 (probe),25004,on side,crawl,0,0.0
