model,held_out,n_test,macro_f1,kappa,best_epoch
harnet10 (probe),25003,7238,0.48687851879379535,0.6203033162323839,21
harnet10 (probe),25004,7728,0.38169344403115046,0.46614515519816413,28
harnet10 (probe),25005,6165,0.597883542456506,0.7226727814039062,19
harnet10 (probe),25006,8007,0.6334500067420886,0.75598149064725,16
harnet10 (probe),25007,9760,0.5271391035028083,0.6733182892263936,8
harnet10 (probe),25008,9237,0.49507114224540033,0.6794732083873574,11
harnet10 (full),25003,7238,0.6632946750877133,0.8268057596238613,15
harnet10 (full),25004,7728,0.6744581536620353,0.5773629082974205,21
harnet10 (full),25005,6165,0.7509784661477509,0.8646794385618516,13
harnet10 (full),25006,8007,0.7535601324712397,0.8458646222277186,4
harnet10 (full),25007,9760,0.6758309959615243,0.9048952480559302,5
harnet10 (full),25008,9237,0.6444676562650299,0.8409011036901898,16
