model,held_out,posture,support,precision,recall,f1
harnet10 (probe),25003,crawl,0,0.0,0.0,0.0
harnet10 (probe),25003,on back,3134,0.9438244047619048,0.8095086151882578,0.8715218138096874
harnet10 (probe),25003,on side,75,0.40789473684210525,0.41333333333333333,0.4105960264900662
harnet10 (probe),25003,on stomach,1585,0.9780927835051546,0.9577287066246056,0.9678036340452661
harnet10 (probe),25003,recline back,985,0.44527177959791514,0.6071065989847716,0.5137457044673539
harnet10 (probe),25003,sit,741,0.3130360205831904,0.4925775978407557,0.38280020975353957
harnet10 (probe),25003,stand,718,0.3977272727272727,0.19498607242339833,0.2616822429906542
harnet10 (probe),25004,crawl,119,0.27314814814814814,0.4957983193277311,0.3522388059701492
harnet10 (probe),25004,on back,27,0.0486815415821501,0.8888888888888888,0.09230769230769231
harnet10 (probe),25004,on side,18,0.0,0.0,0.0
harnet10 (probe),25004,on stomach,2522,0.9379782521143778,0.9234734337827122,0.9306693306693307
harnet10 (probe),25004,recline back,1068,0.5648957632817754,0.7865168539325843,0.6575342465753424
harnet10 (probe),25004,sit,1738,0.4080242240726722,0.620253164556962,0.4922374429223744
harnet10 (probe),25004,stand,2236,0.5232876712328767,0.08542039355992845,0.14686658977316416
harnet10 (probe),25005,crawl,15,0.11627906976744186,0.3333333333333333,0.1724137931034483
harnet10 (probe),25005,on back,2507,0.9216315307057745,0.8021539688871161,0.8577521859671572
harnet10 (probe),25005,on side,224,0.5408560311284046,0.6205357142857143,0.577962577962578
harnet10 (probe),25005,on stomach,1158,0.969377990430622,0.8747841105354058,0.9196550158874263
harnet10 (probe),25005,recline back,1714,0.7201510146295422,0.8903150525087514,0.7962431515783981
harnet10 (probe),25005,sit,389,0.49262536873156343,0.42930591259640105,0.45879120879120877
harnet10 (probe),25005,stand,158,0.37777777777777777,0.43037974683544306,0.40236686390532544
harnet10 (probe),25006,crawl,377,1.0,0.06631299734748011,0.12437810945273632
harnet10 (probe),25006,on back,332,0.6177062374245473,0.9246987951807228,0.7406513872135102
harnet10 (probe),25006,on side,2080,0.9418254764292878,0.9028846153846154,0.9219440353460973
harnet10 (probe),25006,on stomach,1972,0.882908404154863,0.9482758620689655,0.9144254278728606
harnet10 (probe),25006,recline back,2153,0.9045801526717557,0.880631676730144,0.8924452812426453
harnet10 (probe),25006,sit,562,0.34522111269614836,0.4306049822064057,0.3832145684877276
harnet10 (probe),25006,stand,531,0.4392361111111111,0.4764595103578154,0.45709123757904246
harnet10 (probe),25007,crawl,0,0.0,0.0,0.0
harnet10 (probe),25007,on back,4125,0.8512820512820513,0.9255757575757576,0.8868757259001161
harnet10 (probe),25007,on side,161,0.7040816326530612,0.42857142857142855,0.5328185328185329
harnet10 (probe),25007,on stomach,1108,0.8085277554304103,0.9070397111913358,0.8549553381539771
harnet10 (probe),25007,recline back,2605,0.8207498715973293,0.6134357005758158,0.7021089630931459
harnet10 (probe),25007,sit,1707,0.6588314304902619,0.5746924428822495,0.613892365456821
harnet10 (probe),25007,stand,54,0.056555269922879174,0.4074074074074074,0.09932279909706546
harnet10 (probe),25008,crawl,0,0.0,0.0,0.0
harnet10 (probe),25008,on back,2503,0.8079139454475605,0.8401917698761486,0.8237367802585194
harnet10 (probe),25008,on side,30,0.20689655172413793,0.4,0.2727272727272727
harnet10 (probe),25008,on stomach,3000,0.9772335288030355,0.9443333333333334,0.9605017799627056
harnet10 (probe),25008,recline back,2365,0.7171201814058957,0.5348837209302325,0.6127391620247034
harnet10 (probe),25008,sit,1105,0.46363061353573687,0.6633484162895927,0.5457930007446017
harnet10 (probe),25008,stand,234,0.22448979591836735,0.28205128205128205,0.25
harnet10 (probe),pooled,crawl,511,0.18089430894308944,0.17416829745596868,0.17746759720837488
harnet10 (probe),pooled,on back,12628,0.8341056533827618,0.8552423186569528,0.8445417578980294
harnet10 (probe),pooled,on side,2588,0.8431683168316831,0.8226429675425039,0.8327791902992372
harnet10 (probe),pooled,on stomach,11345,0.9319223985890652,0.9315116791538123,0.9317169936081111
harnet10 (probe),pooled,recline back,10890,0.7180178505020454,0.7091827364554637,0.7135729465028181
harnet10 (probe),pooled,sit,6242,0.4503662541045719,0.5712912528035886,0.5036723163841808
harnet10 (probe),pooled,stand,3931,0.3432282003710575,0.18824726532688882,0.24314112042056843
harnet10 (full),25003,crawl,0,0.0,0.0,0.0
harnet10 (full),25003,on back,3134,0.9873458792991564,0.9709636247606892,0.9790862290862291
harnet10 (full),25003,on side,75,0.75,0.76,0.7549668874172185
harnet10 (full),25003,on stomach,1585,0.9819763828464885,0.9968454258675079,0.989355040701315
harnet10 (full),25003,recline back,985,0.8615847542627884,0.8720812182741117,0.8668012108980827
harnet10 (full),25003,sit,741,0.5162932790224033,0.6842105263157895,0.5885084155542658
harnet10 (full),25003,stand,718,0.5737704918032787,0.38997214484679665,0.46434494195688225
harnet10 (full),25004,crawl,119,0.684931506849315,0.8403361344537815,0.7547169811320755
harnet10 (full),25004,on back,27,0.37142857142857144,0.9629629629629629,0.5360824742268041
harnet10 (full),25004,on side,18,0.8823529411764706,0.8333333333333334,0.8571428571428571
harnet10 (full),25004,on stomach,2522,0.9724485836243694,0.9936558287073751,0.9829378309472445
harnet10 (full),25004,recline back,1068,0.72,0.8932584269662921,0.7973255328040117
harnet10 (full),25004,sit,1738,0.4041888090028134,0.7439585730724971,0.5237998784687057
harnet10 (full),25004,stand,2236,0.8984771573604061,0.15831842576028624,0.2692015209125475
harnet10 (full),25005,crawl,15,0.4166666666666667,0.6666666666666666,0.5128205128205128
harnet10 (full),25005,on back,2507,0.9564474807856533,0.8934982050259274,0.9239018354299856
harnet10 (full),25005,on side,224,0.6391752577319587,0.8303571428571429,0.7223300970873786
harnet10 (full),25005,on stomach,1158,0.9903930131004367,0.9792746113989638,0.9848024316109423
harnet10 (full),25005,recline back,1714,0.9,0.9661610268378062,0.93190770962296
harnet10 (full),25005,sit,389,0.7259887005649718,0.6606683804627249,0.6917900403768507
harnet10 (full),25005,stand,158,0.47337278106508873,0.5063291139240507,0.4892966360856269
harnet10 (full),25006,crawl,377,0.9390243902439024,0.20424403183023873,0.3355119825708061
harnet10 (full),25006,on back,332,0.9098591549295775,0.9728915662650602,0.9403202328966521
harnet10 (full),25006,on side,2080,0.9964303926568078,0.9394230769230769,0.9670873546151942
harnet10 (full),25006,on stomach,1972,0.9233734939759036,0.9716024340770791,0.9468742278230788
harnet10 (full),25006,recline back,2153,0.9811764705882353,0.9684161634928008,0.9747545582047685
harnet10 (full),25006,sit,562,0.3986636971046771,0.6370106761565836,0.4904109589041096
harnet10 (full),25006,stand,531,0.6320939334637965,0.608286252354049,0.6199616122840691
harnet10 (full),25007,crawl,0,0.0,0.0,0.0
harnet10 (full),25007,on back,4125,0.9806949806949807,0.9852121212121212,0.982948361349619
harnet10 (full),25007,on side,161,0.9618320610687023,0.782608695652174,0.863013698630137
harnet10 (full),25007,on stomach,1108,0.9610274579273693,0.9792418772563177,0.970049172999553
harnet10 (full),25007,recline back,2605,0.9358830146231721,0.9581573896353167,0.9468892261001517
harnet10 (full),25007,sit,1707,0.9311079545454546,0.7680140597539543,0.8417335473515248
harnet10 (full),25007,stand,54,0.07604562737642585,0.37037037037037035,0.12618296529968454
harnet10 (full),25008,crawl,0,0.0,0.0,0.0
harnet10 (full),25008,on back,2503,0.8712652157875322,0.9436675988813424,0.9060222477943997
harnet10 (full),25008,on side,30,0.2571428571428571,0.9,0.4
harnet10 (full),25008,on stomach,3000,0.9946452476572959,0.9906666666666667,0.9926519706078825
harnet10 (full),25008,recline back,2365,0.8596902862505866,0.774630021141649,0.8149466192170819
harnet10 (full),25008,sit,1105,0.8081761006289309,0.6977375565610859,0.7489072365225837
harnet10 (full),25008,stand,234,0.558641975308642,0.7735042735042735,0.6487455197132617
harnet10 (full),pooled,crawl,511,0.62751677852349,0.3659491193737769,0.4622991347342398
harnet10 (full),pooled,on back,12628,0.9491498740554156,0.954862210959772,0.9519974735512395
harnet10 (full),pooled,on side,2588,0.9163115071677644,0.9138330757341576,0.9150706132714258
harnet10 (full),pooled,on stomach,11345,0.9713616245769331,0.9866020273248127,0.9789225118068917
harnet10 (full),pooled,recline back,10890,0.8914749661705007,0.9074380165289256,0.8993856655290102
harnet10 (full),pooled,sit,6242,0.5769082745349583,0.7204421659724447,0.6407351998290233
harnet10 (full),pooled,stand,3931,0.5760818985574686,0.31493258712795724,0.4072368421052632
